2017-06-28 20:46:48,624 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 20:46:51,220 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
2017-06-28 20:46:51,322 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 20:46:51,322 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:00:52,053 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 21:00:53,397 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
2017-06-28 21:00:53,513 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 21:00:53,513 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:01:01,163 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 21:01:02,497 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
2017-06-28 21:01:02,594 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 21:01:02,594 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:01:45,644 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 21:01:47,279 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
2017-06-28 21:01:47,405 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 21:01:47,405 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:02:34,056 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 21:02:35,285 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
2017-06-28 21:02:35,378 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 21:02:35,378 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:04:49,898 views.py [django:70] [INFO]- 127.0.0.1 is requesting /malfunction/all
2017-06-28 21:04:51,135 views.py [django:140] [INFO]- 127.0.0.1 is requesting. /malfunction/QueryAll?limit=10&offset=0&_=1498654954179
2017-06-28 21:05:58,874 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 21:05:58,875 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:06:40,188 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 21:06:41,542 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
2017-06-28 21:06:41,657 tomcat_url.py [django:19] [INFO]- [POST]127.0.0.1 is requesting. /tomcat/tomcat_url/Query
2017-06-28 21:06:41,657 tomcat_url.py [django:34] [INFO]- 查询参数：query_all
2017-06-28 21:19:03,190 views.py [django:47] [INFO]- 127.0.0.1 is requesting /
2017-06-28 21:19:04,650 views.py [django:70] [INFO]- 127.0.0.1 is requesting /tomcat/tomcat_url
